Addr,City,Cust Nm,Cust Region,Cust Terr,Decile (group),Email,End Date,Geo Id,Geo Level Nm,Geo Nm,Load date,Mdm Id,Prod Id,Prod Nm,Speciality,Start Date,State,Time Bucket,Time Bucket Master,Trgt Flg,Zip,Curr Calls,Curr Emails Clicked,Curr Emails Open,Curr Emails Sent,Curr Emails Unsubcribed,Curr In Prsn Calls,Curr Vrtl Calls,Decile,Fax,Geo Level Id,Phone,SR no,Tot Spkr Prgm,Tot Spkr Prgm Atnd
178 WASHINGTON AVENUE EXT,MANY,NATHAN B MITKOFF,SOUTHWEST,NEW ORLEANS,Decile 5-6,NATHAN B MITKOFF@icould.com,3/31/2021,U000101,NATION,US,3/23/2021,10009516,1001001,EXL,Consultants,3/1/2021,LA,M9,M9,N,71449,2,0,0,0,0,0,2,6,5857565189,2,9407334926,518,0,0
178 WASHINGTON AVENUE EXT,MANY,NATHAN B MITKOFF,SOUTHWEST,NEW ORLEANS,Decile 5-6,NATHAN B MITKOFF@icould.com,12/20/2021,U000101,NATION,US,3/23/2021,10009516,1001001,EXL,Consultants,1/1/2021,LA,YTD,YTD,N,71449,2,0,0,0,0,0,2,6,5857565189,2,9407334926,518,0,0
150 PIONEER LN,ELKINS PARK,FELIX SCHULTZ KARP,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 7-8,FELIX SCHULTZ KARP@GLOBAL.NET,7/31/2021,U000101,NATION,US,7/2/2021,10011630,1001001,EXL,Consultants,7/1/2021,PA,M5,M5,N,19027,2,0,0,0,0,0,2,7,5854614426,2,8107337342,820,0,0
150 PIONEER LN,ELKINS PARK,FELIX SCHULTZ KARP,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 7-8,FELIX SCHULTZ KARP@GLOBAL.NET,12/20/2021,U000101,NATION,US,7/2/2021,10011630,1001001,EXL,Consultants,1/1/2021,PA,YTD,YTD,N,19027,2,0,0,0,0,0,2,7,5854614426,2,8107337342,820,0,0
410 W 10TH AVE,BOWLING GREEN,COURTNEY LYNN ZARTMAN,MID-CENTRAL,LOUISVILLE,Decile 7-8,COURTNEY LYNN ZARTMAN@EDU.ORG,10/31/2021,U000101,NATION,US,10/22/2021,10020504,1001001,EXL,Consultants,10/1/2021,KY,M2,M2,N,42101,2,0,0,0,0,0,2,8,7189184469,2,8107333998,402,0,0
410 W 10TH AVE,BOWLING GREEN,COURTNEY LYNN ZARTMAN,MID-CENTRAL,LOUISVILLE,Decile 7-8,COURTNEY LYNN ZARTMAN@EDU.ORG,12/20/2021,U000101,NATION,US,10/22/2021,10020504,1001001,EXL,Consultants,1/1/2021,KY,YTD,YTD,N,42101,2,0,0,0,0,0,2,8,7189184469,2,8107333998,402,0,0
410 W 10TH AVE,BOWLING GREEN,COURTNEY LYNN ZARTMAN,MID-CENTRAL,LOUISVILLE,Decile 7-8,COURTNEY LYNN ZARTMAN@EDU.ORG,12/20/2021,U000101,NATION,US,10/22/2021,10020504,1001001,EXL,Consultants,10/1/2021,KY,QTD,QTD,N,42101,2,0,0,0,0,0,2,8,7189184469,2,8107333998,402,0,0
750 S STATE ST,OTTUMWA,EVA  KURILO,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 7-8,EVA  KURILO@gmail.com,6/30/2021,U000101,NATION,US,6/27/2021,10009215,1001001,EXL,Consultants,6/1/2021,IA,M6,M6,N,52501,2,0,0,0,0,0,2,8,2059757546,2,7507334582,475,0,0
750 S STATE ST,OTTUMWA,EVA  KURILO,MIDWEST,CEDAR RAPIDS / DES MOINES,Decile 7-8,EVA  KURILO@gmail.com,12/20/2021,U000101,NATION,US,6/27/2021,10009215,1001001,EXL,Consultants,1/1/2021,IA,YTD,YTD,N,52501,2,0,0,0,0,0,2,8,2059757546,2,7507334582,475,0,0
801 W PROSPECTOR PL,POMPANO BEACH,AMY R BARKER,SOUTH EAST,MIAMI,Decile 7-8,AMY R BARKER@GLOBAL.NET,4/30/2021,U000101,NATION,US,4/7/2021,10010020,1001001,EXL,Consultants,4/1/2021,FL,M8,M8,N,33064,2,0,0,0,0,0,2,8,2169835131,2,7807335502,590,0,0
801 W PROSPECTOR PL,POMPANO BEACH,AMY R BARKER,SOUTH EAST,MIAMI,Decile 7-8,AMY R BARKER@GLOBAL.NET,12/20/2021,U000101,NATION,US,4/7/2021,10010020,1001001,EXL,Consultants,1/1/2021,FL,YTD,YTD,N,33064,2,0,0,0,0,0,2,8,2169835131,2,7807335502,590,0,0
3259 CATLIN AVE,TEXAS CITY,STEVEN THOMAS ROHE,SOUTHWEST,HOUSTON,Decile 7-8,STEVEN THOMAS ROHE@icould.com,12/20/2021,U000101,NATION,US,12/11/2021,10011525,1001001,EXL,Consultants,1/1/2021,TX,YTD,YTD,N,77591,2,0,0,0,0,0,2,8,4434811687,2,8307337222,805,0,0
3259 CATLIN AVE,TEXAS CITY,STEVEN THOMAS ROHE,SOUTHWEST,HOUSTON,Decile 7-8,STEVEN THOMAS ROHE@icould.com,12/20/2021,U000101,NATION,US,12/11/2021,10011525,1001001,EXL,Consultants,10/1/2021,TX,QTD,QTD,N,77591,2,0,0,0,0,0,2,8,4434811687,2,8307337222,805,0,0
3259 CATLIN AVE,TEXAS CITY,STEVEN THOMAS ROHE,SOUTHWEST,HOUSTON,Decile 7-8,STEVEN THOMAS ROHE@icould.com,12/20/2021,U000101,NATION,US,12/11/2021,10011525,1001001,EXL,Consultants,12/1/2021,TX,MTD,MTD,N,77591,2,0,0,0,0,0,2,8,4434811687,2,8307337222,805,0,0
9100 W 74TH ST,LUMBERTON,SHERIF A RAGAB,MID-CENTRAL,CHARLOTTE,Decile 1-2,SHERIF A RAGAB@gmail.com,6/30/2021,U000101,NATION,US,6/19/2021,10019083,1001001,EXL,Consultants,6/1/2021,NC,M6,M6,N,28358,2,0,0,1,0,0,2,2,9015222550,2,9407332374,199,0,0
9100 W 74TH ST,LUMBERTON,SHERIF A RAGAB,MID-CENTRAL,CHARLOTTE,Decile 1-2,SHERIF A RAGAB@gmail.com,12/20/2021,U000101,NATION,US,6/19/2021,10019083,1001001,EXL,Consultants,1/1/2021,NC,YTD,YTD,N,28358,2,0,0,1,0,0,2,2,9015222550,2,9407332374,199,0,0
1452 BELLAIRE LN NE,SOUTHAMPTON,STEVEN W WRIGHT,Unassigned,US,Decile 7-8,STEVEN W WRIGHT@icould.com,6/30/2021,U000101,NATION,US,6/24/2021,10020336,1001001,EXL,Consultants,6/1/2021,NY,M6,M6,N,11968,2,0,0,1,0,0,2,8,7072535513,2,8107333806,378,0,0
1452 BELLAIRE LN NE,SOUTHAMPTON,STEVEN W WRIGHT,Unassigned,US,Decile 7-8,STEVEN W WRIGHT@icould.com,12/20/2021,U000101,NATION,US,6/24/2021,10020336,1001001,EXL,Consultants,1/1/2021,NY,YTD,YTD,N,11968,2,0,0,1,0,0,2,8,7072535513,2,8107333806,378,0,0
1000 MONTAUK HWY,BELLE CHASSE,HEATHER ANN HUGHES,SOUTHWEST,NEW ORLEANS,Decile 1-2,HEATHER ANN HUGHES@outlook.com,3/31/2021,U000101,NATION,US,3/2/2021,10019272,1001001,EXL,Consultants,3/1/2021,LA,M9,M9,N,70037,2,0,0,2,0,0,2,2,5072664311,2,9007332590,226,0,0
1000 MONTAUK HWY,BELLE CHASSE,HEATHER ANN HUGHES,SOUTHWEST,NEW ORLEANS,Decile 1-2,HEATHER ANN HUGHES@outlook.com,12/20/2021,U000101,NATION,US,3/2/2021,10019272,1001001,EXL,Consultants,1/1/2021,LA,YTD,YTD,N,70037,2,0,0,2,0,0,2,2,5072664311,2,9007332590,226,0,0
2185 CITRACADO PKWY,RICHMOND HILL,KARL ANDREW MARZEC,NORTHEAST,BROOKLYN,Decile 3-4,KARL ANDREW MARZEC@gmail.com,9/30/2021,U000101,NATION,US,9/5/2021,10019517,1001001,EXL,Consultants,9/1/2021,NY,M3,M3,N,11418,2,0,0,3,0,0,2,4,4409348999,2,7807332870,261,0,0
2185 CITRACADO PKWY,RICHMOND HILL,KARL ANDREW MARZEC,NORTHEAST,BROOKLYN,Decile 3-4,KARL ANDREW MARZEC@gmail.com,12/20/2021,U000101,NATION,US,9/5/2021,10019517,1001001,EXL,Consultants,1/1/2021,NY,YTD,YTD,N,11418,2,0,0,3,0,0,2,4,4409348999,2,7807332870,261,0,0
1001 N TUSTIN AVE,PORT JEFFERSON STATION,IMRAN  IMAM,NORTHEAST,LONG ISLAND,Decile 3-4,IMRAN  IMAM@gmail.com,5/31/2021,U000101,NATION,US,5/7/2021,10011476,1001001,EXL,Consultants,5/1/2021,NY,M7,M7,N,11776,2,0,0,4,0,0,2,4,2036884740,2,9007337166,798,0,0
1001 N TUSTIN AVE,PORT JEFFERSON STATION,IMRAN  IMAM,NORTHEAST,LONG ISLAND,Decile 3-4,IMRAN  IMAM@gmail.com,12/20/2021,U000101,NATION,US,5/7/2021,10011476,1001001,EXL,Consultants,1/1/2021,NY,YTD,YTD,N,11776,2,0,0,4,0,0,2,4,2036884740,2,9007337166,798,0,0
9500 EUCLID AVE J4-1,CARROLL,ANDEGONI M SANDALAKIS,GREAT LAKES,COLUMBUS,Decile 5-6,ANDEGONI M SANDALAKIS@gmail.com,8/31/2021,U000101,NATION,US,8/27/2021,10011399,1001001,EXL,Consultants,8/1/2021,OH,M4,M4,N,43112,2,0,0,4,0,0,2,6,9374393786,2,7807337078,787,0,0
9500 EUCLID AVE J4-1,CARROLL,ANDEGONI M SANDALAKIS,GREAT LAKES,COLUMBUS,Decile 5-6,ANDEGONI M SANDALAKIS@gmail.com,12/20/2021,U000101,NATION,US,8/27/2021,10011399,1001001,EXL,Consultants,1/1/2021,OH,YTD,YTD,N,43112,2,0,0,4,0,0,2,6,9374393786,2,7807337078,787,0,0
400 N PEPPER AVE,EMMAUS,STEPHANIE EVETTE LEWIS,MID-ATLANTIC,ALLENTOWN,Decile 5-6,STEPHANIE EVETTE LEWIS@yahoo.com,8/31/2021,U000101,NATION,US,8/22/2021,10009586,1001001,EXL,Consultants,8/1/2021,PA,M4,M4,N,18049,2,0,0,4,0,0,2,6,2067448245,2,9407335006,528,0,0
400 N PEPPER AVE,EMMAUS,STEPHANIE EVETTE LEWIS,MID-ATLANTIC,ALLENTOWN,Decile 5-6,STEPHANIE EVETTE LEWIS@yahoo.com,12/20/2021,U000101,NATION,US,8/22/2021,10009586,1001001,EXL,Consultants,1/1/2021,PA,YTD,YTD,N,18049,2,0,0,4,0,0,2,6,2067448245,2,9407335006,528,0,0
1600 W 24TH ST,SAGINAW,BRANDI NICHOLLE CROSSON,GREAT LAKES,DETROIT NORTH,Decile 5-6,BRANDI NICHOLLE CROSSON@aolmail.com,11/30/2021,U000101,NATION,US,11/2/2021,10020476,1001001,EXL,Consultants,11/1/2021,MI,M1,M1,N,48602,2,0,1,1,0,0,2,5,9197877073,2,8307333966,398,0,0
1600 W 24TH ST,SAGINAW,BRANDI NICHOLLE CROSSON,GREAT LAKES,DETROIT NORTH,Decile 5-6,BRANDI NICHOLLE CROSSON@aolmail.com,12/20/2021,U000101,NATION,US,11/2/2021,10020476,1001001,EXL,Consultants,1/1/2021,MI,YTD,YTD,N,48602,2,0,1,1,0,0,2,5,9197877073,2,8307333966,398,0,0
1600 W 24TH ST,SAGINAW,BRANDI NICHOLLE CROSSON,GREAT LAKES,DETROIT NORTH,Decile 5-6,BRANDI NICHOLLE CROSSON@aolmail.com,12/20/2021,U000101,NATION,US,11/2/2021,10020476,1001001,EXL,Consultants,10/1/2021,MI,QTD,QTD,N,48602,2,0,1,1,0,0,2,5,9197877073,2,8307333966,398,0,0
462 1ST AVE,CASS CITY,STEPHANIE E GAY,GREAT LAKES,DETROIT NORTH,Decile 5-6,STEPHANIE E GAY@gmail.com,7/31/2021,U000101,NATION,US,7/14/2021,10020350,1001001,EXL,Consultants,7/1/2021,MI,M5,M5,N,48726,2,0,1,2,0,0,2,6,4152063182,2,8307333822,380,0,0
462 1ST AVE,CASS CITY,STEPHANIE E GAY,GREAT LAKES,DETROIT NORTH,Decile 5-6,STEPHANIE E GAY@gmail.com,12/20/2021,U000101,NATION,US,7/14/2021,10020350,1001001,EXL,Consultants,1/1/2021,MI,YTD,YTD,N,48726,2,0,1,2,0,0,2,6,4152063182,2,8307333822,380,0,0
20 YORK ST CB-2041,EAST LIVERPOOL,CHRISTINE M HALEY,GREAT LAKES,COLUMBUS,Decile 3-4,CHRISTINE M HALEY@icould.com,2/28/2021,U000101,NATION,US,2/25/2021,10019846,1001001,EXL,Consultants,2/1/2021,OH,M10,M10,N,43920,2,0,2,3,0,0,2,3,2062991920,2,9007333246,308,0,0
20 YORK ST CB-2041,EAST LIVERPOOL,CHRISTINE M HALEY,GREAT LAKES,COLUMBUS,Decile 3-4,CHRISTINE M HALEY@icould.com,12/20/2021,U000101,NATION,US,2/25/2021,10019846,1001001,EXL,Consultants,1/1/2021,OH,YTD,YTD,N,43920,2,0,2,3,0,0,2,3,2062991920,2,9007333246,308,0,0
39901 TRADITIONS DR,OMAHA,KIMBERLY ANNE VERES HANNAH,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 5-6,KIMBERLY ANNE VERES HANNAH@aolmail.com,3/31/2021,U000101,NATION,US,3/12/2021,10020602,1001001,EXL,Consultants,3/1/2021,NE,M9,M9,N,68130,2,0,2,3,0,0,2,6,8052691585,2,8307334110,416,0,0
39901 TRADITIONS DR,OMAHA,KIMBERLY ANNE VERES HANNAH,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 5-6,KIMBERLY ANNE VERES HANNAH@aolmail.com,12/20/2021,U000101,NATION,US,3/12/2021,10020602,1001001,EXL,Consultants,1/1/2021,NE,YTD,YTD,N,68130,2,0,2,3,0,0,2,6,8052691585,2,8307334110,416,0,0
2700 10TH AVE S STE 200,CHARLESTON,DAVID KELLY ADKINSON,MID-CENTRAL,COLUMBIA,Decile 1-2,DAVID KELLY ADKINSON@gmail.com,1/31/2021,U000101,NATION,US,1/17/2021,10021335,1001001,EXL,Consultants,1/1/2021,SC,M11,M11,N,29414,2,0,3,3,0,0,2,1,2484232576,2,8107331150,46,0,0
2700 10TH AVE S STE 200,CHARLESTON,DAVID KELLY ADKINSON,MID-CENTRAL,COLUMBIA,Decile 1-2,DAVID KELLY ADKINSON@gmail.com,12/20/2021,U000101,NATION,US,1/17/2021,10021335,1001001,EXL,Consultants,1/1/2021,SC,YTD,YTD,N,29414,2,0,3,3,0,0,2,1,2484232576,2,8107331150,46,0,0
4802 10TH AVE,PRINCETON,JOSHUA G SCHILLER,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 7-8,JOSHUA G SCHILLER@aolmail.com,12/20/2021,U000101,NATION,US,12/14/2021,10019265,1001001,EXL,Consultants,1/1/2021,NJ,YTD,YTD,N,08540,2,0,3,3,0,0,2,7,5072845370,2,8107332582,225,0,0
4802 10TH AVE,PRINCETON,JOSHUA G SCHILLER,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 7-8,JOSHUA G SCHILLER@aolmail.com,12/20/2021,U000101,NATION,US,12/14/2021,10019265,1001001,EXL,Consultants,10/1/2021,NJ,QTD,QTD,N,08540,2,0,3,3,0,0,2,7,5072845370,2,8107332582,225,0,0
4802 10TH AVE,PRINCETON,JOSHUA G SCHILLER,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 7-8,JOSHUA G SCHILLER@aolmail.com,12/20/2021,U000101,NATION,US,12/14/2021,10019265,1001001,EXL,Consultants,12/1/2021,NJ,MTD,MTD,N,08540,2,0,3,3,0,0,2,7,5072845370,2,8107332582,225,0,0
114 WOODLAND ST,BRISTOL,PAULA MARY CINTI,MID-CENTRAL,NASHVILLE KNOXVILLE,Decile 7-8,PAULA MARY CINTI@thunderbird.com,11/30/2021,U000101,NATION,US,11/24/2021,10020378,1001001,EXL,Consultants,11/1/2021,TN,M1,M1,N,37620,2,1,1,1,0,0,2,8,2488980850,2,9407333854,384,0,0
114 WOODLAND ST,BRISTOL,PAULA MARY CINTI,MID-CENTRAL,NASHVILLE KNOXVILLE,Decile 7-8,PAULA MARY CINTI@thunderbird.com,12/20/2021,U000101,NATION,US,11/24/2021,10020378,1001001,EXL,Consultants,1/1/2021,TN,YTD,YTD,N,37620,2,1,1,1,0,0,2,8,2488980850,2,9407333854,384,0,0
114 WOODLAND ST,BRISTOL,PAULA MARY CINTI,MID-CENTRAL,NASHVILLE KNOXVILLE,Decile 7-8,PAULA MARY CINTI@thunderbird.com,12/20/2021,U000101,NATION,US,11/24/2021,10020378,1001001,EXL,Consultants,10/1/2021,TN,QTD,QTD,N,37620,2,1,1,1,0,0,2,8,2488980850,2,9407333854,384,0,0
15255 MAX LEGGETT PKWY STE 6500,DORCHESTER CENTER,ANDREJA  PACKARD,NORTHEAST,BOSTON SOUTH,Decile 3-4,ANDREJA  PACKARD@aolmail.com,5/31/2021,U000101,NATION,US,5/1/2021,10020259,1001001,EXL,Consultants,5/1/2021,MA,M7,M7,N,02124,2,1,1,2,0,0,2,3,8508838268,2,7807333718,367,0,0
15255 MAX LEGGETT PKWY STE 6500,DORCHESTER CENTER,ANDREJA  PACKARD,NORTHEAST,BOSTON SOUTH,Decile 3-4,ANDREJA  PACKARD@aolmail.com,12/20/2021,U000101,NATION,US,5/1/2021,10020259,1001001,EXL,Consultants,1/1/2021,MA,YTD,YTD,N,02124,2,1,1,2,0,0,2,3,8508838268,2,7807333718,367,0,0
1200 N STATE ST CT-A7D,FORT PIERCE,MINOO  SARKARATI,SOUTH EAST,ORLANDO,Decile 1-2,MINOO  SARKARATI@gmail.com,3/31/2021,U000101,NATION,US,3/6/2021,10011070,1001001,EXL,Consultants,3/1/2021,FL,M9,M9,N,34950,2,1,1,4,0,0,2,2,3214341775,2,8407336702,740,0,0
1200 N STATE ST CT-A7D,FORT PIERCE,MINOO  SARKARATI,SOUTH EAST,ORLANDO,Decile 1-2,MINOO  SARKARATI@gmail.com,12/20/2021,U000101,NATION,US,3/6/2021,10011070,1001001,EXL,Consultants,1/1/2021,FL,YTD,YTD,N,34950,2,1,1,4,0,0,2,2,3214341775,2,8407336702,740,0,0
655 W 8TH ST,SELLERSVILLE,DELORES O THOMPSON,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 7-8,DELORES O THOMPSON@gmail.com,4/30/2021,U000101,NATION,US,4/11/2021,10009929,1001001,EXL,Consultants,4/1/2021,PA,M8,M8,N,18960,2,1,2,3,0,0,2,8,2128242317,2,8407335398,577,0,0
655 W 8TH ST,SELLERSVILLE,DELORES O THOMPSON,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 7-8,DELORES O THOMPSON@gmail.com,12/20/2021,U000101,NATION,US,4/11/2021,10009929,1001001,EXL,Consultants,1/1/2021,PA,YTD,YTD,N,18960,2,1,2,3,0,0,2,8,2128242317,2,8407335398,577,0,0
385 MAIN ST,ROCKPORT,SUJATA  PRASAD,Unassigned,US,Decile 1-2,SUJATA  PRASAD@gmail.com,6/30/2021,U000101,NATION,US,6/23/2021,10020329,1001001,EXL,Consultants,6/1/2021,ME,M6,M6,N,04856,2,2,2,2,0,0,2,1,7072535513,2,9007333798,377,0,0
385 MAIN ST,ROCKPORT,SUJATA  PRASAD,Unassigned,US,Decile 1-2,SUJATA  PRASAD@gmail.com,12/20/2021,U000101,NATION,US,6/23/2021,10020329,1001001,EXL,Consultants,1/1/2021,ME,YTD,YTD,N,04856,2,2,2,2,0,0,2,1,7072535513,2,9007333798,377,0,0
200 HAWKINS DR,CAPE MAY COURT HOUSE,TERRY L WAHLS,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 3-4,TERRY L WAHLS@aolmail.com,10/31/2021,U000101,NATION,US,10/30/2021,10010678,1001001,EXL,Consultants,10/1/2021,NJ,M2,M2,N,08210,2,2,2,3,0,0,2,4,5704572950,2,9407336254,684,0,0
200 HAWKINS DR,CAPE MAY COURT HOUSE,TERRY L WAHLS,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 3-4,TERRY L WAHLS@aolmail.com,12/20/2021,U000101,NATION,US,10/30/2021,10010678,1001001,EXL,Consultants,1/1/2021,NJ,YTD,YTD,N,08210,2,2,2,3,0,0,2,4,5704572950,2,9407336254,684,0,0
200 HAWKINS DR,CAPE MAY COURT HOUSE,TERRY L WAHLS,MID-ATLANTIC,CENTRAL SOUTH JERSEY,Decile 3-4,TERRY L WAHLS@aolmail.com,12/20/2021,U000101,NATION,US,10/30/2021,10010678,1001001,EXL,Consultants,10/1/2021,NJ,QTD,QTD,N,08210,2,2,2,3,0,0,2,4,5704572950,2,9407336254,684,0,0
19 PROSPECT ST,MADISON,JOSELITO B DOMINGO,MIDWEST,MILWAUKEE,Decile 5-6,JOSELITO B DOMINGO@yahoo.com,3/31/2021,U000101,NATION,US,3/19/2021,10018264,1001001,EXL,Consultants,3/1/2021,WI,M9,M9,N,53792,2,2,3,3,0,0,2,5,2037853922,2,8307331438,82,0,0
19 PROSPECT ST,MADISON,JOSELITO B DOMINGO,MIDWEST,MILWAUKEE,Decile 5-6,JOSELITO B DOMINGO@yahoo.com,12/20/2021,U000101,NATION,US,3/19/2021,10018264,1001001,EXL,Consultants,1/1/2021,WI,YTD,YTD,N,53792,2,2,3,3,0,0,2,5,2037853922,2,8307331438,82,0,0
531 ASBURY CIR STE N340,LA MIRADA,JEFFREY N SIEGELMAN,WEST,LOS ANGELES EAST,Decile 3-4,JEFFREY N SIEGELMAN@gmail.com,12/20/2021,U000101,NATION,US,12/7/2021,10011133,1001001,EXL,Hospitals,1/1/2021,CA,YTD,YTD,N,90638,0,0,0,0,0,0,0,3,3193562587,2,7807336774,749,0,0
531 ASBURY CIR STE N340,LA MIRADA,JEFFREY N SIEGELMAN,WEST,LOS ANGELES EAST,Decile 3-4,JEFFREY N SIEGELMAN@gmail.com,12/20/2021,U000101,NATION,US,12/7/2021,10011133,1001001,EXL,Hospitals,10/1/2021,CA,QTD,QTD,N,90638,0,0,0,0,0,0,0,3,3193562587,2,7807336774,749,0,0
531 ASBURY CIR STE N340,LA MIRADA,JEFFREY N SIEGELMAN,WEST,LOS ANGELES EAST,Decile 3-4,JEFFREY N SIEGELMAN@gmail.com,12/20/2021,U000101,NATION,US,12/7/2021,10011133,1001001,EXL,Hospitals,12/1/2021,CA,MTD,MTD,N,90638,0,0,0,0,0,0,0,3,3193562587,2,7807336774,749,0,0
2799 W GRAND BLVD,MADISON HEIGHTS,FORTUNE  OJEANOR,GREAT LAKES,DETROIT NORTH,Decile 3-4,FORTUNE  OJEANOR@GLOBAL.NET,9/30/2021,U000101,NATION,US,9/15/2021,10021034,1001001,EXL,Hospitals,9/1/2021,MI,M3,M3,N,48071,0,0,0,0,0,0,0,4,3139168416,2,9407330806,3,0,0
2799 W GRAND BLVD,MADISON HEIGHTS,FORTUNE  OJEANOR,GREAT LAKES,DETROIT NORTH,Decile 3-4,FORTUNE  OJEANOR@GLOBAL.NET,12/20/2021,U000101,NATION,US,9/15/2021,10021034,1001001,EXL,Hospitals,1/1/2021,MI,YTD,YTD,N,48071,0,0,0,0,0,0,0,4,3139168416,2,9407330806,3,0,0
1900 W POLK ST FL 6,BILTMORE LAKE,KATHRYN MICHELLE LEE LEE NOLL,MID-CENTRAL,CHARLOTTE,Decile 5-6,KATHRYN MICHELLE LEE LEE NOLL@icould.com,12/20/2021,U000101,NATION,US,3/31/2021,10019713,1001001,EXL,Hospitals,1/1/2021,NC,YTD,YTD,N,28715,0,0,0,0,0,0,0,5,2103584775,2,8407333094,289,0,0
18599 LAKE SHORE BLVD,GLADWYNE,PAUL CHESTER JESIONEK,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 5-6,PAUL CHESTER JESIONEK@thunderbird.com,5/31/2021,U000101,NATION,US,5/25/2021,10011686,1001001,EXL,Hospitals,5/1/2021,PA,M7,M7,N,19035,0,0,0,3,0,0,0,5,7178513469,2,9407337406,828,0,0
18599 LAKE SHORE BLVD,GLADWYNE,PAUL CHESTER JESIONEK,MID-ATLANTIC,PHILADELPHIA NORTH,Decile 5-6,PAUL CHESTER JESIONEK@thunderbird.com,12/20/2021,U000101,NATION,US,5/25/2021,10011686,1001001,EXL,Hospitals,1/1/2021,PA,YTD,YTD,N,19035,0,0,0,3,0,0,0,5,7178513469,2,9407337406,828,0,0
301 RIVERVIEW AVE STE 500,TUBA CITY,SASHA A LEE,Unassigned,US,Decile 1-2,SASHA A LEE@thunderbird.com,5/31/2021,U000101,NATION,US,5/25/2021,10018943,1001001,EXL,Hospitals,5/1/2021,AZ,M7,M7,N,86045,0,0,0,4,0,0,0,2,9106720355,2,8407332214,179,0,0
301 RIVERVIEW AVE STE 500,TUBA CITY,SASHA A LEE,Unassigned,US,Decile 1-2,SASHA A LEE@thunderbird.com,12/20/2021,U000101,NATION,US,5/25/2021,10018943,1001001,EXL,Hospitals,1/1/2021,AZ,YTD,YTD,N,86045,0,0,0,4,0,0,0,2,9106720355,2,8407332214,179,0,0
41 PARK CREEK DR,GARLAND,MARC TARO ISHIZUKA,SOUTHWEST,DALLAS,Decile 3-4,MARC TARO ISHIZUKA@gmail.com,1/31/2021,U000101,NATION,US,1/13/2021,10011259,1001001,EXL,Hospitals,1/1/2021,TX,M11,M11,N,75044,0,0,1,3,0,0,0,4,8602245774,2,8307336918,767,0,0
41 PARK CREEK DR,GARLAND,MARC TARO ISHIZUKA,SOUTHWEST,DALLAS,Decile 3-4,MARC TARO ISHIZUKA@gmail.com,12/20/2021,U000101,NATION,US,1/13/2021,10011259,1001001,EXL,Hospitals,1/1/2021,TX,YTD,YTD,N,75044,0,0,1,3,0,0,0,4,8602245774,2,8307336918,767,0,0
1500 E MEDICAL CENTER DR SPC 5322,HOLLIS,JAMES WALLACE TEENER,NORTHEAST,LONG ISLAND,Decile 7-8,JAMES WALLACE TEENER@outlook.com,8/31/2021,U000101,NATION,US,8/14/2021,10011392,1001001,EXL,Hospitals,8/1/2021,NY,M4,M4,N,11423,0,0,2,2,0,0,0,7,9374338691,2,7807337070,786,0,0
1500 E MEDICAL CENTER DR SPC 5322,HOLLIS,JAMES WALLACE TEENER,NORTHEAST,LONG ISLAND,Decile 7-8,JAMES WALLACE TEENER@outlook.com,12/20/2021,U000101,NATION,US,8/14/2021,10011392,1001001,EXL,Hospitals,1/1/2021,NY,YTD,YTD,N,11423,0,0,2,2,0,0,0,7,9374338691,2,7807337070,786,0,0
601 DR MARTIN LUTHER KING JR AVE NE,LEAVENWORTH,JUSTIN RICHARD WHITE,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 7-8,JUSTIN RICHARD WHITE@yahoo.com,10/31/2021,U000101,NATION,US,10/12/2021,10010811,1001001,EXL,Hospitals,10/1/2021,KS,M2,M2,N,66048,0,0,2,2,0,0,0,7,5086726544,2,7807336406,703,0,0
601 DR MARTIN LUTHER KING JR AVE NE,LEAVENWORTH,JUSTIN RICHARD WHITE,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 7-8,JUSTIN RICHARD WHITE@yahoo.com,12/20/2021,U000101,NATION,US,10/12/2021,10010811,1001001,EXL,Hospitals,1/1/2021,KS,YTD,YTD,N,66048,0,0,2,2,0,0,0,7,5086726544,2,7807336406,703,0,0
601 DR MARTIN LUTHER KING JR AVE NE,LEAVENWORTH,JUSTIN RICHARD WHITE,UPPER NORTHWEST CENTRAL,KANSAS CITY,Decile 7-8,JUSTIN RICHARD WHITE@yahoo.com,12/20/2021,U000101,NATION,US,10/12/2021,10010811,1001001,EXL,Hospitals,10/1/2021,KS,QTD,QTD,N,66048,0,0,2,2,0,0,0,7,5086726544,2,7807336406,703,0,0
